line,run,n,B

6533,    1,       0.00,    0.000
6533,    1,       0.25,    0.399
6533,    1,       0.50,    0.790
6533,    1,       0.75,    1.025
6533,    1,       1.00,    1.214

6533,    2,       0.00,    0.000
6533,    2,       0.25,    0.390
6533,    2,       0.50,    0.692
6533,    2,       0.75,    0.994
6533,    2,       1.00,    1.214

6533,    3,       0.00,    0.000
6533,    3,       0.25,    0.415
6533,    3,       0.50,    0.788
6533,    3,       0.75,    1.050
6533,    3,       1.00,    1.214


6266,    1,       0.00,    0.000
6266,    1,       0.25,    0.229
6266,    1,       0.50,    0.443
6266,    1,       0.75,    0.751
6266,    1,       1.00,    0.984
6266,    1,       1.25,    1.215

6266,    2,       0.00,    0.000
6266,    2,       0.25,    0.243
6266,    2,       0.50,    0.472
6266,    2,       0.75,    0.731
6266,    2,       1.00,    0.971
6266,    2,       1.25,    1.214

6266,    3,       0.00,    0.000
6266,    3,       0.25,    0.232
6266,    3,       0.50,    0.465
6266,    3,       0.75,    0.752
6266,    3,       1.00,    0.966
6266,    3,       1.25,    1.214


6164,    1,       0.00,    0.000
6164,    1,       0.25,    0.183
6164,    1,       0.50,    0.361
6164,    1,       0.75,    0.513
6164,    1,       1.00,    0.750
6164,    1,       1.25,    0.953
6164,    1,       1.50,    1.115
6164,    1,       1.75,    1.211

6164,    2,       0.00,    0.000
6164,    2,       0.25,    0.180
6164,    2,       0.50,    0.341
6164,    2,       0.75,    0.514
6164,    2,       1.00,    0.696
6164,    2,       1.25,    0.940
6164,    2,       1.50,    1.084
6164,    2,       1.75,    1.213

6164,    3,       0.00,    0.000
6164,    3,       0.25,    0.156
6164,    3,       0.50,    0.334
6164,    3,       0.75,    0.537
6164,    3,       1.00,    0.695
6164,    3,       1.25,    0.965
6164,    3,       1.50,    1.100
6164,    3,       1.75,    1.211


6074,    1,       0.00,    0.000
6074,    1,       0.25,    0.151
6074,    1,       0.50,    0.285
6074,    1,       0.75,    0.472
6074,    1,       1.00,    0.653
6074,    1,       1.25,    0.874
6074,    1,       1.50,    1.021
6074,    1,       1.75,    1.174

6074,    2,       0.00,    0.000
6074,    2,       0.25,    0.145
6074,    2,       0.50,    0.348
6074,    2,       0.75,    0.469
6074,    2,       1.00,    0.641
6074,    2,       1.25,    0.872
6074,    2,       1.50,    1.008
6074,    2,       1.75,    1.176

6074,    3,       0.00,    0.000
6074,    3,       0.25,    0.178
6074,    3,       0.50,    0.301
6074,    3,       0.75,    0.455
6074,    3,       1.00,    0.727
6074,    3,       1.25,    0.886
6074,    3,       1.50,    1.056
6074,    3,       1.75,    1.163


5852,    1,       0.00,    0.000
5852,    1,       0.25,    0.220
5852,    1,       0.50,    0.494
5852,    1,       0.75,    0.732
5852,    1,       1.00,    0.938
5852,    1,       1.25,    1.206

5852,    2,       0.00,    0.000
5852,    2,       0.25,    0.243
5852,    2,       0.50,    0.530
5852,    2,       0.75,    0.727
5852,    2,       1.00,    0.943
5852,    2,       1.25,    1.210

5852,    3,       0.00,    0.000
5852,    3,       0.25,    0.211
5852,    3,       0.50,    0.508
5852,    3,       0.75,    0.731
5852,    3,       1.00,    0.960
5852,    3,       1.25,    1.209
