Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
Sample Interval,100.0000012E-9,s,-37.89999755E-6,-1.6000000E-3,,Sample Interval,100.0000012E-9,s,-37.89999755E-6,199.99998808E-3,
Trigger Point,379.99997868,Samples,-37.79999679E-6,-1.6000000E-3,,Trigger Point,379.99997868,Samples,-37.79999679E-6,199.99998808E-3,
,,,-37.69999967E-6,-1.6000000E-3,,,,,-37.69999967E-6,199.99998808E-3,
,,,-37.59999890E-6,-1.6000000E-3,,,,,-37.59999890E-6,199.99998808E-3,
,,,-37.49999814E-6,-1.6000000E-3,,,,,-37.49999814E-6,199.99998808E-3,
Source,CH1,,-37.39999738E-6,-1.6000000E-3,,Source,CH2,,-37.39999738E-6,199.99998808E-3,
Vertical Units,Volts,,-37.29999662E-6,-1.6000000E-3,,Vertical Units,Volts,,-37.29999662E-6,159.99999642E-3,
Vertical Scale,19.9999995E-3,,-37.19999950E-6,-1.6000000E-3,,Vertical Scale,999.999977648E-3,,-37.19999950E-6,199.99998808E-3,
Vertical Offset,0,,-37.09999874E-6,-1.6000000E-3,,Vertical Offset,0,,-37.09999874E-6,199.99998808E-3,
Horizontal Units,s,,-36.99999797E-6,-1.6000000E-3,,Horizontal Units,s,,-36.99999797E-6,199.99998808E-3,
Horizontal Scale,25.00000029E-6,,-36.89999721E-6,-1.6000000E-3,,Horizontal Scale,25.00000029E-6,,-36.89999721E-6,199.99998808E-3,
Pt Fmt,Y,,-36.80000009E-6,-1.6000000E-3,,Pt Fmt,Y,,-36.80000009E-6,199.99998808E-3,
Yzero,-2.0000000,,-36.69999933E-6,-1.6000000E-3,,Yzero,-3.00000000,,-36.69999933E-6,199.99998808E-3,
Probe Atten,1.000000,,-36.59999857E-6,-1.6000000E-3,,Probe Atten,1.000000,,-36.59999857E-6,199.99998808E-3,
,,,-36.49999780E-6,-1.6000000E-3,,,,,-36.49999780E-6,199.99998808E-3,
Note,TDS 1012C-EDU - 3:07:46 PM   9/4/2024,,-36.39999704E-6,-1.6000000E-3,,Note,TDS 1012C-EDU - 3:07:46 PM   9/4/2024,,-36.39999704E-6,199.99998808E-3,
,,,-36.29999992E-6,-1.6000000E-3,,,,,-36.29999992E-6,199.99998808E-3,
,,,-36.19999916E-6,-1.6000000E-3,,,,,-36.19999916E-6,199.99998808E-3,
,,,-36.09999840E-6,-1.6000000E-3,,,,,-36.09999840E-6,199.99998808E-3,
,,,-35.99999764E-6,-1.6000000E-3,,,,,-35.99999764E-6,199.99998808E-3,
,,,-35.89999687E-6,-1.6000000E-3,,,,,-35.89999687E-6,159.99999642E-3,
,,,-35.79999975E-6,-1.6000000E-3,,,,,-35.79999975E-6,199.99998808E-3,
,,,-35.69999899E-6,-1.6000000E-3,,,,,-35.69999899E-6,199.99998808E-3,
,,,-35.59999823E-6,-1.6000000E-3,,,,,-35.59999823E-6,159.99999642E-3,
,,,-35.49999747E-6,-1.6000000E-3,,,,,-35.49999747E-6,199.99998808E-3,
,,,-35.39999670E-6,-1.6000000E-3,,,,,-35.39999670E-6,199.99998808E-3,
,,,-35.29999958E-6,-1.6000000E-3,,,,,-35.29999958E-6,159.99999642E-3,
,,,-35.19999882E-6,-1.6000000E-3,,,,,-35.19999882E-6,199.99998808E-3,
,,,-35.09999806E-6,-1.6000000E-3,,,,,-35.09999806E-6,199.99998808E-3,
,,,-34.99999730E-6,-1.6000000E-3,,,,,-34.99999730E-6,159.99999642E-3,
,,,-34.89999654E-6,-1.6000000E-3,,,,,-34.89999654E-6,199.99998808E-3,
,,,-34.79999941E-6,-1.6000000E-3,,,,,-34.79999941E-6,159.99999642E-3,
,,,-34.69999865E-6,-1.6000000E-3,,,,,-34.69999865E-6,199.99998808E-3,
,,,-34.59999789E-6,-1.6000000E-3,,,,,-34.59999789E-6,199.99998808E-3,
,,,-34.49999713E-6,-1.6000000E-3,,,,,-34.49999713E-6,199.99998808E-3,
,,,-34.40000000E-6,-1.6000000E-3,,,,,-34.40000000E-6,199.99998808E-3,
,,,-34.29999924E-6,-1.6000000E-3,,,,,-34.29999924E-6,199.99998808E-3,
,,,-34.19999848E-6,-1.6000000E-3,,,,,-34.19999848E-6,199.99998808E-3,
,,,-34.09999772E-6,-1.6000000E-3,,,,,-34.09999772E-6,199.99998808E-3,
,,,-33.99999696E-6,-1.6000000E-3,,,,,-33.99999696E-6,199.99998808E-3,
,,,-33.89999983E-6,-799.999979790E-6,,,,,-33.89999983E-6,199.99998808E-3,
,,,-33.79999907E-6,-1.6000000E-3,,,,,-33.79999907E-6,199.99998808E-3,
,,,-33.69999831E-6,-1.6000000E-3,,,,,-33.69999831E-6,199.99998808E-3,
,,,-33.59999755E-6,-1.6000000E-3,,,,,-33.59999755E-6,199.99998808E-3,
,,,-33.49999679E-6,-1.6000000E-3,,,,,-33.49999679E-6,199.99998808E-3,
,,,-33.39999967E-6,-1.6000000E-3,,,,,-33.39999967E-6,199.99998808E-3,
,,,-33.29999890E-6,-1.6000000E-3,,,,,-33.29999890E-6,159.99999642E-3,
,,,-33.19999814E-6,-1.6000000E-3,,,,,-33.19999814E-6,159.99999642E-3,
,,,-33.09999738E-6,-1.6000000E-3,,,,,-33.09999738E-6,199.99998808E-3,
,,,-32.99999662E-6,-1.6000000E-3,,,,,-32.99999662E-6,199.99998808E-3,
,,,-32.89999950E-6,-1.6000000E-3,,,,,-32.89999950E-6,199.99998808E-3,
,,,-32.79999873E-6,-1.6000000E-3,,,,,-32.79999873E-6,199.99998808E-3,
,,,-32.69999797E-6,-1.6000000E-3,,,,,-32.69999797E-6,199.99998808E-3,
,,,-32.59999721E-6,-1.6000000E-3,,,,,-32.59999721E-6,199.99998808E-3,
,,,-32.49999645E-6,-1.6000000E-3,,,,,-32.49999645E-6,199.99998808E-3,
,,,-32.39999933E-6,-1.6000000E-3,,,,,-32.39999933E-6,159.99999642E-3,
,,,-32.29999857E-6,-1.6000000E-3,,,,,-32.29999857E-6,199.99998808E-3,
,,,-32.19999780E-6,-1.6000000E-3,,,,,-32.19999780E-6,199.99998808E-3,
,,,-32.09999704E-6,-1.6000000E-3,,,,,-32.09999704E-6,199.99998808E-3,
,,,-31.99999992E-6,-1.6000000E-3,,,,,-31.99999992E-6,199.99998808E-3,
,,,-31.89999916E-6,-1.6000000E-3,,,,,-31.89999916E-6,199.99998808E-3,
,,,-31.79999840E-6,-1.6000000E-3,,,,,-31.79999840E-6,199.99998808E-3,
,,,-31.69999763E-6,-1.6000000E-3,,,,,-31.69999763E-6,159.99999642E-3,
,,,-31.59999687E-6,-1.6000000E-3,,,,,-31.59999687E-6,199.99998808E-3,
,,,-31.49999975E-6,-1.6000000E-3,,,,,-31.49999975E-6,199.99998808E-3,
,,,-31.39999899E-6,-1.6000000E-3,,,,,-31.39999899E-6,199.99998808E-3,
,,,-31.29999823E-6,-1.6000000E-3,,,,,-31.29999823E-6,199.99998808E-3,
,,,-31.19999747E-6,-1.6000000E-3,,,,,-31.19999747E-6,159.99999642E-3,
,,,-31.09999670E-6,-1.6000000E-3,,,,,-31.09999670E-6,199.99998808E-3,
,,,-30.99999958E-6,-1.6000000E-3,,,,,-30.99999958E-6,199.99998808E-3,
,,,-30.89999882E-6,-799.999979790E-6,,,,,-30.89999882E-6,159.99999642E-3,
,,,-30.79999806E-6,-1.6000000E-3,,,,,-30.79999806E-6,199.99998808E-3,
,,,-30.69999730E-6,-1.6000000E-3,,,,,-30.69999730E-6,199.99998808E-3,
,,,-30.59999653E-6,-1.6000000E-3,,,,,-30.59999653E-6,199.99998808E-3,
,,,-30.49999759E-6,-1.6000000E-3,,,,,-30.49999759E-6,199.99998808E-3,
,,,-30.39999865E-6,-1.6000000E-3,,,,,-30.39999865E-6,199.99998808E-3,
,,,-30.29999789E-6,-1.6000000E-3,,,,,-30.29999789E-6,199.99998808E-3,
,,,-30.19999895E-6,-1.6000000E-3,,,,,-30.19999895E-6,199.99998808E-3,
,,,-30.09999818E-6,-1.6000000E-3,,,,,-30.09999818E-6,199.99998808E-3,
,,,-29.99999742E-6,-1.6000000E-3,,,,,-29.99999742E-6,159.99999642E-3,
,,,-29.89999848E-6,-1.6000000E-3,,,,,-29.89999848E-6,199.99998808E-3,
,,,-29.79999772E-6,-1.6000000E-3,,,,,-29.79999772E-6,199.99998808E-3,
,,,-29.69999878E-6,-1.6000000E-3,,,,,-29.69999878E-6,199.99998808E-3,
,,,-29.59999802E-6,-1.6000000E-3,,,,,-29.59999802E-6,199.99998808E-3,
,,,-29.49999907E-6,-1.6000000E-3,,,,,-29.49999907E-6,199.99998808E-3,
,,,-29.39999831E-6,-1.6000000E-3,,,,,-29.39999831E-6,199.99998808E-3,
,,,-29.29999755E-6,-1.6000000E-3,,,,,-29.29999755E-6,199.99998808E-3,
,,,-29.19999861E-6,-1.6000000E-3,,,,,-29.19999861E-6,159.99999642E-3,
,,,-29.09999785E-6,-1.6000000E-3,,,,,-29.09999785E-6,199.99998808E-3,
,,,-28.99999890E-6,-1.6000000E-3,,,,,-28.99999890E-6,199.99998808E-3,
,,,-28.89999814E-6,-1.6000000E-3,,,,,-28.89999814E-6,199.99998808E-3,
,,,-28.79999738E-6,-1.6000000E-3,,,,,-28.79999738E-6,199.99998808E-3,
,,,-28.69999844E-6,-1.6000000E-3,,,,,-28.69999844E-6,199.99998808E-3,
,,,-28.59999768E-6,-1.6000000E-3,,,,,-28.59999768E-6,199.99998808E-3,
,,,-28.49999873E-6,-1.6000000E-3,,,,,-28.49999873E-6,199.99998808E-3,
,,,-28.39999797E-6,-1.6000000E-3,,,,,-28.39999797E-6,199.99998808E-3,
,,,-28.29999903E-6,-1.6000000E-3,,,,,-28.29999903E-6,199.99998808E-3,
,,,-28.19999827E-6,-1.6000000E-3,,,,,-28.19999827E-6,199.99998808E-3,
,,,-28.09999751E-6,-1.6000000E-3,,,,,-28.09999751E-6,159.99999642E-3,
,,,-27.99999857E-6,-1.6000000E-3,,,,,-27.99999857E-6,199.99998808E-3,
,,,-27.89999780E-6,-1.6000000E-3,,,,,-27.89999780E-6,199.99998808E-3,
,,,-27.79999886E-6,-1.6000000E-3,,,,,-27.79999886E-6,159.99999642E-3,
,,,-27.69999810E-6,-1.6000000E-3,,,,,-27.69999810E-6,159.99999642E-3,
,,,-27.59999734E-6,-1.6000000E-3,,,,,-27.59999734E-6,199.99998808E-3,
,,,-27.49999840E-6,-1.6000000E-3,,,,,-27.49999840E-6,199.99998808E-3,
,,,-27.39999763E-6,-1.6000000E-3,,,,,-27.39999763E-6,199.99998808E-3,
,,,-27.29999869E-6,-1.6000000E-3,,,,,-27.29999869E-6,199.99998808E-3,
,,,-27.19999793E-6,-1.6000000E-3,,,,,-27.19999793E-6,199.99998808E-3,
