degree,freq
5,100
5.1,113.5
5.2,126
5.3,134
5.4,152
5.5,149.5
5.6,184
5.7,165.5
5.8,183.5
5.9,176.5
6,178.5
6.1,210
6.2,209.5
6.3,230.5
6.4,235
6.5,232.5
6.6,244
6.7,240
6.8,239
6.9,270
7,294
7.1,249.5
7.2,275
7.3,289
7.4,290
7.5,302
7.6,297
7.7,331
7.8,328.5
7.9,315.5
8,326.5
8.1,335
8.2,365
8.3,342
8.4,372.5
8.5,372.5
8.6,361
8.7,355
8.8,359.5
8.9,375.5
9,367
9.1,371.5
9.2,355
9.3,399
9.4,393.5
9.5,380
9.6,367
9.7,382
9.8,395
9.9,390.5
10,418
10.1,392
10.2,423.5
10.3,410.5
10.4,406
10.5,437
10.6,425
10.7,406.5
10.8,442
10.9,420
11,413
11.1,448
11.2,428
11.3,422
11.4,441.5
11.5,420.5
11.6,445.5
11.7,435
11.8,427.5
11.9,436.5
12,437.5
12.1,413.5
12.2,445
12.3,422.5
12.4,438
12.5,447
12.6,427
12.7,444.5
12.8,431
12.9,415
13,376.5
13.1,409.5
13.2,369
13.3,388
13.4,371.5
13.5,391
13.6,380.5
13.7,382
13.8,369
13.9,380
14,392.5
14.1,386
14.2,404.5
14.3,386.5
14.4,380.5
14.5,378.5
14.6,371
14.7,399.5
14.8,378.5
14.9,377
15,369
15.1,407.5
15.2,389
15.3,374.5
15.4,410.5
15.5,393
15.6,441.5
15.7,410
15.8,372
15.9,378.5
16,398
16.1,350
16.2,359
16.3,346
16.4,361.5
16.5,345.5
16.6,356
16.7,346
16.8,339.5
16.9,339
17,325.5
17.1,337.5
17.2,340
17.3,339
17.4,334.5
17.5,344.5
17.6,382.5
17.7,439.5
17.8,439.5
17.9,427.5
18,403.5
18.1,389
18.2,460
18.3,597
18.4,592
18.5,431.5
18.6,378
18.7,342
18.8,316.5
18.9,304.5
19,307
19.1,291.5
19.2,276.5
19.3,291.5
19.4,296
19.5,295.5
19.6,401
19.7,667
19.8,1360
19.9,2910
20,3639.5
20.1,2962
20.2,960.5
20.3,564.5
20.4,512.5
20.5,462.5
20.6,440.5
20.7,436
20.8,416
20.9,413.5
21,426
21.1,539.5
21.2,792.5
21.3,885
21.4,714
21.5,464.5
21.6,409
21.7,428.5
21.8,527.5
21.9,1091
22,2164.5
22.1,5183.5
22.2,10460.5
22.3,10868
22.4,8779.5
22.5,2108.5
22.6,541
22.7,467.5
22.8,394.5
22.9,346.5
23,347.5
23.1,318
23.2,297
23.3,320.5
23.4,280
23.5,284.5
23.6,272
23.7,284
23.8,229.5
23.9,235
24,252
24.1,252.5
24.2,244.5
24.3,245
24.4,250
24.5,242
24.6,225
24.7,208
24.8,220.5
24.9,222.5
25,209.5
25.1,193
25.2,207
25.3,199.5
25.4,217
25.5,210.5
25.6,217.5
25.7,219.5
25.8,179.5
25.9,185.5
26,198.5
26.1,178
26.2,188
26.3,174
26.4,162
26.5,160
26.6,135
26.7,148.5
26.8,153
26.9,146.5
27,138.5
27.1,143
27.2,162.5
27.3,125.5
27.4,148
27.5,128.5
27.6,136
27.7,133
27.8,146.5
27.9,122
28,124
28.1,124.5
28.2,141
28.3,156
28.4,224.5
28.5,281
28.6,234.5
28.7,136.5
28.8,106.5
28.9,104
29,99
29.1,103.5
29.2,104
29.3,103.5
29.4,103.5
29.5,94.5
29.6,102
29.7,99
29.8,85.5
29.9,95.5
30,87.5
30.1,86.5
30.2,91
30.3,83
30.4,84.5
30.5,89
30.6,88
30.7,75
30.8,79
30.9,74.5
31,82
31.1,65.5
31.2,77
31.3,76.5
31.4,90.5
31.5,64
31.6,68
31.7,87
31.8,65
31.9,66.5
32,70
32.1,69.5
32.2,70.5
32.3,65.5
32.4,67.5
32.5,76.5
32.6,65.5
32.7,59.5
32.8,67.5
32.9,74.5
33,64.5
33.1,59.5
33.2,67.5
33.3,63.5
33.4,60.5
33.5,58
33.6,59.5
33.7,63.5
33.8,55.5
33.9,50
34,49
34.1,58.5
34.2,61.5
34.3,48
34.4,54
34.5,51
34.6,55.5
34.7,55.5
34.8,52
34.9,51
35,55
35.1,54.5
35.2,42.5
35.3,50.5
35.4,39
35.5,45
35.6,55
35.7,43.5
35.8,50
35.9,53.5
36,43
36.1,50.5
36.2,49
36.3,39.5
36.4,52
36.5,50
36.6,40
36.7,47
36.8,43
36.9,42
37,41
37.1,40.5
37.2,41
37.3,42
37.4,42
37.5,45
37.6,48
37.7,47
37.8,45.5
37.9,51.5
