degree,freq
5,217.36
5.1,216.93
5.2,211.43
5.3,216.86
5.4,218.36
5.5,214.36
5.6,227.29
5.7,228.07
5.8,228.79
5.9,230.29
6,230.5
6.1,234.93
6.2,241.57
6.3,239.21
6.4,244.21
6.5,249.86
6.6,263.07
6.7,272.64
6.8,277.5
6.9,292.21
7,287
7.1,276.43
7.2,279.5
7.3,279.93
7.4,279.36
7.5,277.71
7.6,283.86
7.7,291.07
7.8,295.71
7.9,319.07
8,335.64
8.1,384.5
8.2,414.29
8.3,444.14
8.4,425.79
8.5,396.43
8.6,324.57
8.7,272.07
8.8,230.93
8.9,219.64
9,209.79
9.1,206.93
9.2,202.29
9.3,194.07
9.4,183.29
9.5,183.93
9.6,175.36
9.7,171.21
9.8,167.79
9.9,166.5
10,166.93
10.1,165.21
10.2,159.07
10.3,156
10.4,154.43
10.5,155.36
10.6,158.36
10.7,152.64
10.8,150
10.9,147
11,143.43
11.1,147.86
11.2,148.07
11.3,146.36
11.4,144.07
11.5,135.43
11.6,139.43
11.7,137.36
11.8,137.71
11.9,138.86
12,131.79
12.1,135.36
12.2,136.43
12.3,140.36
12.4,152.43
12.5,145.93
12.6,151.79
12.7,153.14
12.8,140.43
12.9,127.64
13,126.79
13.1,121.07
13.2,112.21
13.3,114.07
13.4,114.93
13.5,114.14
13.6,113.71
13.7,110.29
13.8,108.43
13.9,107.14
14,106.57
14.1,101.79
14.2,103.14
14.3,103.71
14.4,101.36
14.5,102.71
14.6,97.21
14.7,98.14
14.8,94.79
14.9,93.43
15,96.43
15.1,98.36
15.2,98.86
15.3,93.64
15.4,94.07
15.5,90.86
15.6,86.86
15.7,93.14
15.8,86.71
15.9,89.21
16,88.5
16.1,89.57
16.2,92.79
16.3,87.86
16.4,90.64
16.5,97.86
16.6,95.86
16.7,105.21
16.8,107.79
16.9,111.43
17,110.71
17.1,105.57
17.2,101.07
17.3,96.5
17.4,84.14
17.5,83
17.6,80.21
17.7,83.43
17.8,84.93
17.9,87.21
18,94
18.1,96.57
18.2,98.21
18.3,106.14
18.4,114.93
18.5,126.29
18.6,147.5
18.7,170.57
18.8,184.79
18.9,210.36
19,204.79
19.1,173.21
19.2,146
19.3,117.64
19.4,97
19.5,101.86
19.6,100.93
19.7,110.71
19.8,105.71
19.9,102.93
20,91.79
20.1,81.86
20.2,73.07
20.3,65.71
20.4,65.29
20.5,64.36
20.6,61.79
20.7,66.93
20.8,64.5
20.9,66.5
21,67.5
21.1,66.5
21.2,71.29
21.3,74.57
21.4,82.29
21.5,87.93
21.6,104.86
21.7,139.21
21.8,167.86
21.9,205.21
22,231.5
22.1,233.43
22.2,212.79
22.3,167
22.4,119.5
22.5,79.71
22.6,60.29
22.7,54.71
22.8,53.71
22.9,55.79
23,51.14
23.1,55.21
23.2,51.07
23.3,50.14
23.4,50.57
23.5,53.64
23.6,47.64
23.7,47.21
23.8,49.79
23.9,47.43
24,49.43
24.1,50.14
24.2,48
24.3,44.64
24.4,45.21
24.5,46.07
24.6,44.57
24.7,43.79
24.8,43.29
24.9,45.64
25,47.29
25.1,46.86
25.2,43.07
25.3,46.21
25.4,43.14
25.5,44.5
25.6,42.57
25.7,45.57
25.8,44.43
25.9,44.14
26,39.93
26.1,46.14
26.2,46.71
26.3,43.79
26.4,41.21
26.5,45.57
26.6,41.93
26.7,39.86
26.8,38.93
26.9,41.79
27,41
27.1,39.71
27.2,42.14
27.3,37.14
27.4,35.21
27.5,38.93
27.6,38.36
27.7,37.29
27.8,41.79
27.9,38.36
28,37.64
28.1,41.57
28.2,41
28.3,39.86
28.4,46.71
28.5,52.21
28.6,52.86
28.7,58
28.8,59.21
28.9,53.07
29,46.43
29.1,44.57
29.2,38.07
29.3,35.5
29.4,34.71
29.5,35.71
29.6,32.64
29.7,35.5
29.8,34.29
29.9,40.07
30,37.86
30.1,35.29
30.2,33.21
30.3,34
30.4,36.21
30.5,35.07
30.6,36.79
30.7,36.64
30.8,36.07
30.9,34
31,33.14
31.1,34
31.2,34.14
31.3,34.57
31.4,34.29
31.5,36.29
31.6,35.14
31.7,39.93
31.8,50.36
31.9,63.07
32,77.79
32.1,96.21
32.2,113.57
32.3,114.93
32.4,113.86
32.5,94.29
32.6,72
32.7,48.57
32.8,36.36
32.9,31.5
33,28.43
33.1,31.93
33.2,31.5
33.3,32.64
33.4,31.36
33.5,29.93
33.6,29.93
33.7,31.36
33.8,33.86
33.9,28.71
34,30.5
34.1,31
34.2,34.64
34.3,32.64
34.4,35.07
34.5,35.29
34.6,31.64
34.7,31.14
34.8,30.71
34.9,30.14
35,28.93
35.1,29.71
35.2,27.79
35.3,26.43
35.4,28.64
35.5,27.07
35.6,27.36
35.7,30.5
35.8,29.57
35.9,29.14
36,30.79
36.1,32.5
36.2,32.43
36.3,31.29
36.4,33.93
36.5,29.5
36.6,30.64
36.7,29.79
36.8,28.57
36.9,27.14
37,23.14
37.1,28.43
37.2,26.5
37.3,27
37.4,28.5
37.5,26
37.6,29.5
37.7,26.36
37.8,27.36
37.9,24.21
38,25.93
38.1,27.57
38.2,25.93
38.3,27.93
38.4,32.86
38.5,31.36
38.6,35.64
38.7,44
38.8,45.79
38.9,49.07
39,46.64
39.1,43
39.2,39.57
