degree,freq
5,96
5.1,91
5.2,104.5
5.3,99
5.4,104.5
5.5,108
5.6,90
5.7,98.5
5.8,107
5.9,94.5
6,99.5
6.1,95
6.2,100
6.3,105.5
6.4,95.5
6.5,86.5
6.6,94.5
6.7,103
6.8,92
6.9,98.5
7,92
7.1,110.5
7.2,109
7.3,111.5
7.4,100.5
7.5,110
7.6,114.5
7.7,111
7.8,115
7.9,106
8,106.5
8.1,102
8.2,104
8.3,106.5
8.4,115.5
8.5,110
8.6,112
8.7,117
8.8,112
8.9,99.5
9,107
9.1,96
9.2,108.5
9.3,106
9.4,102.5
9.5,98
9.6,101
9.7,92.5
9.8,82
9.9,106.5
10,87
10.1,86.5
10.2,100
10.3,96.5
10.4,96
10.5,92.5
10.6,94
10.7,89.5
10.8,94.5
10.9,89
11,97.5
11.1,80.5
11.2,93
11.3,93.5
11.4,85.5
11.5,78.5
11.6,84.5
11.7,91.5
11.8,86
11.9,75.5
12,87
12.1,91
12.2,97
12.3,75.5
12.4,81.5
12.5,100.5
12.6,90.5
12.7,107
12.8,93
12.9,91.5
13,93
13.1,98
13.2,83
13.3,77
13.4,82.5
13.5,90
13.6,106
13.7,191.5
13.8,236
13.9,365
14,437.5
14.1,385
14.2,321.5
14.3,209
14.4,94.5
14.5,95
14.6,100.5
14.7,115
14.8,125
14.9,129
15,150.5
15.1,183.5
15.2,359.5
15.3,689
15.4,1042.5
15.5,1434
15.6,1543.5
15.7,1346
15.8,1039
15.9,402
16,74
16.1,84
16.2,70.5
16.3,76.5
16.4,62.5
16.5,63.5
16.6,59
16.7,59.5
16.8,64
16.9,62.5
17,63
17.1,56
17.2,54
17.3,50.5
17.4,44
17.5,51.5
17.6,45
17.7,43.5
17.8,48
17.9,45.5
18,47
18.1,48.5
18.2,54
18.3,36.5
18.4,42.5
18.5,37.5
18.6,45
18.7,36.5
18.8,38
18.9,42
19,43
19.1,41
19.2,32.5
19.3,32
19.4,39.5
19.5,37
19.6,39
19.7,32
19.8,38.5
19.9,37.5
20,43
20.1,30
20.2,29.5
20.3,30.5
20.4,29
20.5,33.5
20.6,26.5
20.7,34.5
20.8,31.5
20.9,32
21,27.5
21.1,27.5
21.2,30.5
21.3,30
21.4,27.5
21.5,31
21.6,28
21.7,28.5
21.8,35.5
21.9,36.5
22,32
22.1,36.5
22.2,36
22.3,29.5
22.4,36
22.5,38.5
22.6,28
22.7,28.5
22.8,27.5
22.9,30
23,27
23.1,20
23.2,24.5
23.3,26
23.4,20.5
23.5,25
23.6,22
23.7,23.5
23.8,21.5
23.9,29
24,24
24.1,28
24.2,23.5
24.3,28
24.4,19.5
24.5,24.5
24.6,28.5
24.7,25.5
24.8,21.5
24.9,21
25,16
25.1,23.5
25.2,24.5
25.3,30.5
25.4,24
25.5,18.5
25.6,22.5
25.7,25
25.8,18
25.9,19.5
26,19.5
26.1,22
26.2,20
26.3,25.5
26.4,22
26.5,22
26.6,24
26.7,22
26.8,27
26.9,24.5
27,23
27.1,22.5
27.2,21
27.3,18.5
27.4,25.5
27.5,22.5
27.6,22
27.7,24
27.8,25.5
27.9,27
28,21
28.1,20
28.2,23.5
28.3,19
28.4,25.5
28.5,23.5
28.6,23
28.7,23.5
28.8,31.5
28.9,31.5
29,34.5
29.1,47
29.2,56.5
29.3,66
29.4,64
29.5,49.5
29.6,34
29.7,21
29.8,19.5
29.9,20
30,17.5
30.1,22.5
30.2,24
30.3,13
30.4,20.5
30.5,23.5
30.6,22.5
30.7,19
30.8,20.5
30.9,15
31,23.5
31.1,24
31.2,24
31.3,19
31.4,31.5
31.5,18
31.6,23.5
31.7,18.5
31.8,22.5
31.9,26.5
32,19
32.1,27.5
32.2,24
32.3,27
32.4,45.5
32.5,77
32.6,148.5
32.7,200
32.8,245.5
32.9,248
33,193
33.1,92.5
33.2,51.5
33.3,30.5
33.4,18.5
33.5,22
33.6,25.5
33.7,24
33.8,24.5
33.9,19.5
34,20
34.1,18.5
34.2,20.5
34.3,21.5
34.4,18.5
34.5,18.5
34.6,21
34.7,17.5
34.8,20
34.9,26
35,20
