Icoil,Bnom,VHall,stddev,Bmeas
1.3990E+0,2.0390E+0,3.3600E-2,5.4772E-4,1.9518E+0
2.0490E+0,2.9366E+0,3.3000E-2,0.0000E+0,2.8402E+0
2.6990E+0,3.8341E+0,3.2600E-2,5.4772E-4,3.7346E+0
3.3490E+0,4.7316E+0,3.2600E-2,5.4772E-4,4.6340E+0
3.9490E+0,5.5601E+0,3.2000E-2,0.0000E+0,5.4542E+0
4.5990E+0,6.4576E+0,3.1000E-2,0.0000E+0,6.3282E+0
5.2500E+0,7.3565E+0,3.1000E-2,7.0711E-4,7.1956E+0
5.9010E+0,8.2554E+0,3.0600E-2,5.4772E-4,8.0417E+0
6.6020E+0,9.1209E+0,3.0200E-2,4.4721E-4,8.9270E+0
7.3520E+0,1.0033E+1,2.9800E-2,4.4721E-4,9.8254E+0
Foil,current,was,6.000000
