Icoil,Bnom,VHall,stddev,Bmeas
1.3480E+0,1.9686E+0,6.0600E-2,5.4772E-4,1.9657E+0
2.0480E+0,2.9352E+0,6.0600E-2,5.4772E-4,2.8704E+0
2.6960E+0,3.8299E+0,5.9600E-2,5.4772E-4,3.7511E+0
3.3450E+0,4.7261E+0,5.9400E-2,5.4772E-4,4.6388E+0
3.9940E+0,5.6222E+0,5.9000E-2,NaN,5.5211E+0
4.5950E+0,6.4521E+0,5.9000E-2,NaN,6.3321E+0
5.2450E+0,7.3496E+0,5.8800E-2,4.4721E-4,7.1927E+0
5.8950E+0,8.2471E+0,5.8800E-2,4.4721E-4,8.0378E+0
6.5950E+0,9.1118E+0,5.8000E-2,0.0000E+0,8.9241E+0
7.3450E+0,1.0025E+1,5.7600E-2,5.4772E-4,9.8163E+0
Foil,current,was,7.500000
