Icoil,Bnom,VHall,stddev,Bmeas
1.3440E+0,1.9631E+0,7.3200E-2,4.4721E-4,1.9622E+0
2.0430E+0,2.9283E+0,7.3000E-2,0.0000E+0,2.8650E+0
2.6930E+0,3.8258E+0,7.2000E-2,0.0000E+0,3.7424E+0
3.3430E+0,4.7233E+0,7.2000E-2,0.0000E+0,4.6350E+0
3.9930E+0,5.6208E+0,7.1000E-2,0.0000E+0,5.5211E+0
4.5930E+0,6.4493E+0,7.0600E-2,5.4772E-4,6.3287E+0
5.2430E+0,7.3468E+0,6.9200E-2,4.4721E-4,7.1889E+0
5.8930E+0,8.2444E+0,6.8400E-2,5.4772E-4,8.0311E+0
6.6430E+0,9.1736E+0,6.8000E-2,0.0000E+0,8.9804E+0
7.3440E+0,1.0024E+1,6.7600E-2,5.4772E-4,9.8125E+0
Foil,current,was,9.000000
