Icoil,Bnom,VHall,stddev,Bmeas
1.3360E+0,1.9520E+0,3.0000E-3,7.0711E-4,1.9508E+0
2.0350E+0,2.9172E+0,3.2000E-3,4.4721E-4,2.8553E+0
2.6860E+0,3.8161E+0,2.2000E-3,4.4721E-4,3.7337E+0
3.3360E+0,4.7136E+0,2.0000E-4,4.4721E-4,4.6267E+0
3.9860E+0,5.6112E+0,0.0000E+0,0.0000E+0,5.5130E+0
4.6360E+0,6.5087E+0,0.0000E+0,0.0000E+0,6.3897E+0
5.2360E+0,7.3372E+0,-4.0000E-4,5.4772E-4,7.1826E+0
5.8880E+0,8.2375E+0,-8.0000E-4,8.3666E-4,8.0259E+0
6.6390E+0,9.1685E+0,-1.6000E-3,5.4772E-4,8.9780E+0
7.3390E+0,1.0018E+1,-2.2000E-3,4.4721E-4,9.8121E+0
Foil,current,was,0.000100
