Icoil,Bnom,VHall,stddev,Bmeas
1.3410E+0,1.9590E+0,-4.8118E+2,2.7454E-1,1.9563E+0
2.0410E+0,2.9255E+0,-5.6421E+2,1.5796E+0,2.8611E+0
2.6910E+0,3.8230E+0,-6.5752E+2,1.3325E+0,3.7380E+0
3.3410E+0,4.7206E+0,-7.5968E+2,9.5611E-1,4.6335E+0
3.9910E+0,5.6181E+0,-8.6827E+2,7.6549E-1,5.5207E+0
4.5910E+0,6.4466E+0,-9.7007E+2,1.3319E+0,6.3273E+0
5.2410E+0,7.3441E+0,-1.0833E+3,1.0139E+0,7.1889E+0
5.8910E+0,8.2416E+0,-1.1984E+3,1.0498E+0,8.0321E+0
6.6420E+0,9.1723E+0,-1.3303E+3,5.2631E-1,8.9799E+0
7.3420E+0,1.0022E+1,-1.4484E+3,9.6592E-1,9.8111E+0
Foil,current,was,0.005000
