Icoil,Bnom,VHall,stddev,Bmeas
1.3640E+0,1.9907E+0,1.2762E+0,8.8994E-3,1.9889E+0
2.0640E+0,2.9573E+0,8.6200E-1,4.1833E-3,2.8894E+0
2.6640E+0,3.7858E+0,4.9420E-1,3.9188E-2,3.7026E+0
3.3130E+0,4.6819E+0,-4.3980E-1,1.3531E-1,4.5924E+0
3.9630E+0,5.5794E+0,-9.7760E-1,1.0359E-2,5.4807E+0
4.6130E+0,6.4769E+0,-1.3856E+0,1.9494E-3,6.3571E+0
5.2630E+0,7.3745E+0,-1.7672E+0,1.7021E-2,7.2190E+0
5.9140E+0,8.2734E+0,-2.0792E+0,1.5057E-2,8.0584E+0
6.6140E+0,9.1363E+0,-2.1816E+0,3.6950E-2,8.9446E+0
7.3640E+0,1.0047E+1,-1.9650E+0,2.1331E-2,9.8349E+0
Foil,current,was,0.000100
