Icoil,Bnom,VHall,stddev,Bmeas
1.3640E+0,1.9907E+0,1.8352E+0,3.2711E-3,1.9914E+0
2.0640E+0,2.9573E+0,1.1400E+0,2.5303E-1,2.8913E+0
2.6640E+0,3.7858E+0,1.0040E+0,4.7958E-3,3.7050E+0
3.3130E+0,4.6819E+0,5.0440E-1,4.1938E-2,4.5953E+0
3.9630E+0,5.5794E+0,-1.8480E-1,5.6303E-3,5.4807E+0
4.6130E+0,6.4769E+0,-5.7520E-1,8.3785E-3,6.3590E+0
5.2630E+0,7.3745E+0,-8.8840E-1,3.9115E-3,7.2186E+0
5.9140E+0,8.2734E+0,-1.2912E+0,2.9496E-3,8.0598E+0
6.6140E+0,9.1363E+0,-9.8660E-1,1.4433E-2,8.9446E+0
7.3650E+0,1.0048E+1,-1.7672E+0,1.4034E-1,9.8363E+0
Foil,current,was,0.000500
