Icoil,Bnom,VHall,stddev,Bmeas
1.3990E+0,2.0390E+0,-1.8060E-1,8.9443E-4,1.9523E+0
1.7980E+0,2.5900E+0,-2.1440E-1,5.4772E-4,2.4997E+0
2.2480E+0,3.2113E+0,-2.4240E-1,5.4772E-4,3.1136E+0
2.6470E+0,3.7623E+0,-2.5800E-1,7.0711E-4,3.6677E+0
3.0460E+0,4.3132E+0,-2.6600E-1,0.0000E+0,4.2157E+0
3.4460E+0,4.8655E+0,-2.6800E-1,0.0000E+0,4.7649E+0
3.8960E+0,5.4869E+0,-2.6620E-1,4.4721E-4,5.3824E+0
4.2960E+0,6.0392E+0,-2.6320E-1,4.4721E-4,5.9259E+0
4.6960E+0,6.5915E+0,-2.5880E-1,4.4721E-4,6.4622E+0
5.0960E+0,7.1439E+0,-2.5620E-1,1.0954E-3,6.9943E+0
5.5460E+0,7.7652E+0,-2.5400E-1,7.0711E-4,7.5815E+0
5.9460E+0,8.3175E+0,-2.5200E-1,0.0000E+0,8.0976E+0
6.4460E+0,8.9172E+0,-2.5200E-1,1.2247E-3,8.7337E+0
6.8460E+0,9.4298E+0,-2.5260E-1,5.4772E-4,9.2227E+0
7.3470E+0,1.0028E+1,-2.5800E-1,1.1180E-2,9.8202E+0
Foil,current,was,6.000000
