Icoil,Bnom,VHall,stddev,Bmeas
1.3460E+0,1.9659E+0,-2.9000E-1,1.0000E-3,1.9657E+0
1.7950E+0,2.5858E+0,-3.1020E-1,4.4721E-4,2.5377E+0
2.2440E+0,3.2058E+0,-3.2960E-1,8.9443E-4,3.1316E+0
2.6440E+0,3.7581E+0,-3.4160E-1,5.4772E-4,3.6798E+0
3.0430E+0,4.3091E+0,-3.4700E-1,1.2247E-3,4.2229E+0
3.4420E+0,4.8600E+0,-3.4880E-1,4.4721E-4,4.7697E+0
3.8920E+0,5.4814E+0,-3.4680E-1,8.3666E-4,5.3858E+0
4.2920E+0,6.0337E+0,-3.4220E-1,4.4721E-4,5.9264E+0
4.6910E+0,6.5846E+0,-3.3700E-1,7.0711E-4,6.4613E+0
5.1410E+0,7.2060E+0,-3.3460E-1,8.9443E-4,7.0561E+0
5.5410E+0,7.7583E+0,-3.3300E-1,7.0711E-4,7.5801E+0
5.9410E+0,8.3106E+0,-3.3200E-1,0.0000E+0,8.0923E+0
6.4420E+0,8.9119E+0,-3.3160E-1,5.4772E-4,8.7271E+0
6.8920E+0,9.4868E+0,-3.3200E-1,7.0711E-4,9.2789E+0
7.3430E+0,1.0023E+1,-3.3340E-1,8.9443E-4,9.8106E+0
Foil,current,was,7.500000
