Icoil,Bnom,VHall,stddev,Bmeas
1.3640E+0,1.9907E+0,-3.1456E+0,6.7884E-2,1.9874E+0
2.0640E+0,2.9573E+0,-4.7394E+0,4.7883E-2,2.8903E+0
2.6640E+0,3.7858E+0,-6.1214E+0,1.9087E-2,3.7036E+0
3.3130E+0,4.6819E+0,-7.7370E+0,1.5604E-2,4.5958E+0
3.9630E+0,5.5794E+0,-9.3092E+0,2.1902E-2,5.4816E+0
4.6130E+0,6.4769E+0,-1.1001E+1,3.6715E-2,6.3595E+0
5.2630E+0,7.3745E+0,-1.2499E+1,1.7903E-2,7.2186E+0
5.9140E+0,8.2734E+0,-1.3973E+1,1.4571E-2,8.0617E+0
6.6150E+0,9.1376E+0,-1.5525E+1,1.5515E-2,8.9456E+0
7.3650E+0,1.0048E+1,-1.7156E+1,3.3279E-2,9.8349E+0
Foil,current,was,0.000050
