delta_t (s),V_z_low (V),V_z_high (V),V_z_avg (V)
1.00E-03,10.80,10.90,10.85
2.00E-03,10.40,10.60,10.50
3.00E-03,10.00,10.10,10.05
4.00E-03,9.60,9.84,9.72
5.00E-03,9.28,9.44,9.36
6.00E-03,8.88,9.12,9.00
7.00E-03,8.48,8.80,8.64
8.00E-03,8.16,8.40,8.28
9.00E-03,7.76,8.08,7.92
1.00E-02,7.44,7.68,7.56
1.10E-02,7.04,7.28,7.16
1.20E-02,6.72,6.96,6.84
1.30E-02,6.32,6.48,6.40
1.40E-02,5.84,6.08,5.96
1.50E-02,5.48,5.64,5.56
1.60E-02,5.08,5.24,5.16
1.70E-02,4.64,4.84,4.74
1.80E-02,4.24,4.44,4.34
1.90E-02,3.88,4.08,3.98
2.00E-02,3.48,3.60,3.54
2.10E-02,3.08,3.22,3.15
2.20E-02,2.70,2.84,2.77
2.30E-02,2.40,2.52,2.46
2.40E-02,2.12,2.24,2.18
2.50E-02,1.90,2.00,1.95
2.60E-02,1.72,1.82,1.77
2.70E-02,1.68,1.78,1.73
2.80E-02,1.64,1.76,1.70
2.90E-02,1.70,1.84,1.77
3.00E-02,1.84,1.96,1.90
3.10E-02,1.96,2.16,2.06
3.20E-02,2.18,2.34,2.26
3.30E-02,2.42,2.52,2.47
3.40E-02,2.60,2.72,2.66
3.50E-02,2.80,2.94,2.87
3.60E-02,3.02,3.14,3.08
3.70E-02,3.24,3.38,3.31
3.80E-02,3.44,3.56,3.50
3.90E-02,3.68,3.80,3.74
4.00E-02,3.88,4.00,3.94
4.10E-02,4.12,4.24,4.18
4.20E-02,4.32,4.44,4.38
4.30E-02,4.48,4.64,4.56
4.40E-02,4.68,4.84,4.76
4.50E-02,4.88,5.00,4.94
4.60E-02,5.04,5.20,5.12
4.70E-02,5.24,5.40,5.32
4.80E-02,5.40,5.52,5.46
4.90E-02,5.56,5.76,5.66
5.00E-02,5.76,5.88,5.82
5.10E-02,5.92,6.08,6.00
5.20E-02,6.08,6.24,6.16
5.30E-02,6.24,6.40,6.32
5.40E-02,6.36,6.52,6.44
5.50E-02,6.52,6.72,6.62
5.60E-02,6.68,6.84,6.76
5.70E-02,6.80,6.96,6.88
6.00E-02,7.20,7.36,7.28
6.30E-02,7.52,7.04,7.28
6.60E-02,7.92,8.16,8.04
6.90E-02,8.24,8.48,8.36
7.20E-02,8.56,8.72,8.64
7.50E-02,8.88,9.04,8.96
7.80E-02,9.12,9.28,9.20
8.10E-02,9.36,9.52,9.44
8.40E-02,9.60,9.76,9.68
8.70E-02,9.84,10.00,9.92
9.00E-02,9.92,10.20,10.06
9.30E-02,10.20,10.40,10.30
9.60E-02,10.30,10.60,10.45
9.90E-02,10.40,10.70,10.55
