Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1189
Lower Discriminator:,15
Calibration Coefficients:,3.343101301520494E-5,1.1002692132116734,0.06407733492919378
Calibration Channels:,29,458,591
Calibration Energies:,32.0,511.0,662.0
Elapsed Real Time:,1801.14
Elapsed Live Time:,1800.0
Start Time:,November 12, 2024, 10:05:28
End Time:,November 12, 2024, 10:35:29
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,439,478,1808,266,8,511

Channel Data:
Channel,Energy,Counts
0,0.06407733492919378,0
1,1.1643799791538825,0
2,2.2647494854046015,0
3,3.3651858536813513,0
4,4.465689083984131,0
5,5.566259176312941,0
6,6.666896130667782,0
7,7.7675999470486525,0
8,8.868370625455553,0
9,9.969208165888485,0
10,11.070112568347447,0
11,12.171083832832439,0
12,13.272121959343464,0
13,14.373226947880518,0
14,15.4743987984436,0
15,16.575637511032713,0
16,17.67694308564786,6
17,18.778315522289038,90
18,19.87975482095624,120
19,20.98126098164948,115
20,22.082834004368742,120
21,23.18447388911404,139
22,24.286180635885366,152
23,25.387954244682724,119
24,26.489794715506115,125
25,27.591702048355533,134
26,28.693676243230982,130
27,29.79571730013246,136
28,30.89782521905997,128
29,32.00000000001351,140
30,33.10224164299308,144
31,34.20455014799868,161
32,35.306925515030315,130
33,36.40936774408797,137
34,37.51187683517167,143
35,38.61445278828138,176
36,39.71709560341714,158
37,40.819805280578926,160
38,41.92258181976674,183
39,43.02542522098058,176
40,44.12833548422046,172
41,45.23131260948636,196
42,46.3343565967783,224
43,47.437467446096264,220
44,48.54064515744026,217
45,49.64388973081029,260
46,50.747201166206345,238
47,51.850579463628435,231
48,52.95402462307655,281
49,54.057536644550694,289
50,55.16111552805088,277
51,56.264761273577086,317
52,57.368473881129326,306
53,58.47225335070759,342
54,59.57609968231189,365
55,60.680012875942225,378
56,61.78399293159859,380
57,62.88803984928098,388
58,63.9921536289894,431
59,65.09633427072386,459
60,66.20058177448433,476
61,67.30489614027084,493
62,68.4092773680834,494
63,69.51372545792196,517
64,70.61824040978657,553
65,71.72282222367721,547
66,72.82747089959388,543
67,73.93218643753657,533
68,75.0369688375053,522
69,76.14181809950004,546
70,77.24673422352083,572
71,78.35171720956765,566
72,79.4567670576405,567
73,80.56188376773937,523
74,81.66706733986429,569
75,82.77231777401524,590
76,83.8776350701922,533
77,84.98301922839521,546
78,86.08847024862422,504
79,87.19398813087928,461
80,88.29957287516038,521
81,89.4052244814675,511
82,90.51094294980065,472
83,91.61672828015983,469
84,92.72258047254505,455
85,93.82849952695629,474
86,94.93448544339357,455
87,96.04053822185686,479
88,97.14665786234619,486
89,98.25284436486156,491
90,99.35909772940296,475
91,100.46541795597038,476
92,101.57180504456385,416
93,102.67825899518333,453
94,103.78477980782884,431
95,104.8913674825004,457
96,105.99802201919798,471
97,107.10474341792157,451
98,108.21153167867121,488
99,109.31838680144688,465
100,110.42530878624858,433
101,111.53229763307631,463
102,112.63935334193008,474
103,113.74647591280987,439
104,114.85366534571568,415
105,115.96092164064754,489
106,117.0682447976054,428
107,118.17563481658932,432
108,119.28309169759926,421
109,120.39061544063524,410
110,121.49820604569724,454
111,122.60586351278528,464
112,123.71358784189934,453
113,124.82137903303945,417
114,125.92923708620557,393
115,127.03716200139772,429
116,128.14515377861588,421
117,129.2532124178601,407
118,130.36133791913036,387
119,131.4695302824266,422
120,132.57778950774892,409
121,133.68611559509725,406
122,134.79450854447163,365
123,135.90296835587202,336
124,137.01149502929846,386
125,138.12008856475092,386
126,139.22874896222942,386
127,140.33747622173394,348
128,141.4462703432645,358
129,142.55513132682108,366
130,143.66405917240368,368
131,144.77305388001233,324
132,145.882115449647,356
133,146.9912438813077,349
134,148.10043917499445,328
135,149.20970133070722,368
136,150.319030348446,352
137,151.42842622821084,317
138,152.53788897000166,331
139,153.64741857381856,319
140,154.75701503966147,319
141,155.8666783675304,327
142,156.97640855742537,347
143,158.0862056093464,319
144,159.19606952329343,302
145,160.30600029926651,312
146,161.4159979372656,310
147,162.52606243729073,355
148,163.6361937993419,302
149,164.74639202341908,305
150,165.8566571095223,291
151,166.96698905765155,307
152,168.07738786780683,279
153,169.18785353998814,282
154,170.2983860741955,297
155,171.40898547042886,271
156,172.51965172868825,276
157,173.63038484897368,318
158,174.74118483128512,283
159,175.85205167562265,284
160,176.96298538198616,280
161,178.07398595037571,322
162,179.1850533807913,291
163,180.2961876732329,276
164,181.40738882770057,256
165,182.51865684419425,265
166,183.62999172271395,268
167,184.7413934632597,280
168,185.85286206583146,295
169,186.96439753042927,262
170,188.0759998570531,287
171,189.18766904570293,269
172,190.29940509637885,246
173,191.41120800908075,261
174,192.52307778380867,298
175,193.63501442056267,268
176,194.74701791934268,252
177,195.8590882801487,236
178,196.9712255029808,252
179,198.08342958783888,298
180,199.19570053472302,263
181,200.3080383436332,250
182,201.42044301456937,241
183,202.53291454753162,279
184,203.64545294251985,254
185,204.75805819953413,257
186,205.87073031857446,257
187,206.9834692996408,246
188,208.0962751427332,249
189,209.2091478478516,250
190,210.32208741499602,235
191,211.4350938441665,254
192,212.548167135363,249
193,213.6613072885855,246
194,214.77451430383405,246
195,215.88778818110865,264
196,217.00112892040926,240
197,218.11453652173591,245
198,219.2280109850886,242
199,220.3415523104673,243
200,221.45516049787204,242
201,222.56883554730283,249
202,223.68257745875962,242
203,224.79638623224247,238
204,225.91026186775133,239
205,227.0242043652862,220
206,228.13821372484713,228
207,229.2522899464341,237
208,230.3664330300471,242
209,231.4806429756861,224
210,232.59491978335114,211
211,233.70926345304218,205
212,234.8236739847593,200
213,235.93815137850243,216
214,237.0526956342716,212
215,238.1673067520668,201
216,239.28198473188803,235
217,240.39672957373529,204
218,241.5115412776086,214
219,242.6264198435079,189
220,243.74136527143324,195
221,244.85637756138462,192
222,245.97145671336204,216
223,247.0866027273655,207
224,248.20181560339495,199
225,249.31709534145045,197
226,250.43244194153198,184
227,251.54785540363955,163
228,252.66333572777313,205
229,253.77888291393273,181
230,254.89449696211838,199
231,256.0101778723301,157
232,257.1259256445678,190
233,258.24174027883157,158
234,259.35762177512134,168
235,260.4735701334372,136
236,261.589585353779,188
