Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1259
Lower Discriminator:,16
Calibration Coefficients:,7.668123610152595E-5,1.120964649950157,0.5528717122991001
Calibration Channels:,28,568,442
Calibration Energies:,32.0,662.0,511.0
Elapsed Real Time:,6604.13
Elapsed Live Time:,6600.0
Start Time:,November 13, 2024, 02:05:32
End Time:,November 13, 2024, 03:55:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.5528717122991001,0
1,1.6739130434853586,0
2,2.7951077371438204,0
3,3.9164557932744852,0
4,5.0379572118773535,0
5,6.159611992952423,0
6,7.2814201364996975,0
7,8.403381642519175,0
8,9.525496511010854,0
9,10.647764741974736,0
10,11.770186335410822,0
11,12.892761291319113,0
12,14.015489609699605,0
13,15.1383712905523,0
14,16.2614063338772,0
15,17.384594739674302,0
16,18.507936507943604,48
17,19.63143163868511,444
18,20.755080131898822,475
19,21.878881987584737,531
20,23.002837205742853,512
21,24.126945786373174,532
22,25.2512077294757,528
23,26.37562303505042,543
24,27.50019170309735,515
25,28.62491373361648,486
26,29.749789126607816,515
27,30.874817882071355,540
28,32.0000000000071,506
29,33.12533548041504,527
30,34.25082432329519,516
31,35.37646652864753,519
32,36.502262096472094,535
33,37.62821102676885,572
34,38.75431331953781,647
35,39.880568974778974,609
36,41.00697799249233,603
37,42.133540372677906,635
38,43.26025611533567,647
39,44.38712522046565,705
40,45.51414768806782,731
41,46.64132351814221,758
42,47.76865271068879,802
43,48.89613526570758,812
44,50.02377118319857,863
45,51.15156046316176,937
46,52.27950310559716,958
47,53.407599110504755,1012
48,54.53584847788456,1072
49,55.66425120773657,1162
50,56.79280730006077,1208
51,57.92151675485719,1242
52,59.05037957212579,1332
53,60.179395751866615,1486
54,61.308565294079635,1514
55,62.43788819876486,1520
56,63.56736446592229,1637
57,64.6969940955519,1634
58,65.82677708765374,1730
59,66.95671344222778,1861
60,68.08680315927401,1864
61,69.21704623879245,1972
62,70.34744268078309,2016
63,71.47799248524595,1988
64,72.608695652181,2122
65,73.73955218158825,2195
66,74.87056207346771,2229
67,76.00172532781937,2114
68,77.13304194464322,2168
69,78.2645119239393,2066
70,79.39613526570757,2113
71,80.52791196994804,2117
72,81.6598420366607,2080
73,82.7919254658456,2059
74,83.92416225750267,1955
75,85.05655241163196,1967
76,86.18909592823344,1991
77,87.32179280730715,1948
78,88.45464304885303,1933
79,89.58764665287113,1903
80,90.72080361936142,1848
81,91.85411394832393,1915
82,92.98757763975864,1861
83,94.12119469366554,1896
84,95.25496511004467,1818
85,96.38888888889598,1802
86,97.5229660302195,1965
87,98.6571965340152,1832
88,99.79158040028314,1830
89,100.92611762902327,1838
90,102.06080822023559,1824
91,103.19565217392014,1870
92,104.33064949007687,1782
93,105.4658001687058,1860
94,106.60110420980693,1826
95,107.73656161338029,1793
96,108.87217237942583,1863
97,110.00793650794358,1777
98,111.14385399893355,1788
99,112.27992485239571,1853
100,113.41614906833006,1797
101,114.55252664673662,1751
102,115.6890575876154,1775
103,116.82574189096637,1760
104,117.96257955678954,1780
105,119.09957058508492,1664
106,120.2367149758525,1764
107,121.37401272909227,1698
108,122.51146384480425,1624
109,123.64906832298846,1720
110,124.78682616364485,1671
111,125.92473736677343,1642
112,127.06280193237424,1655
113,128.20101986044725,1664
114,129.33939115099244,1682
115,130.47791580400985,1527
116,131.61659381949943,1619
117,132.75542519746128,1542
118,133.8944099378953,1586
119,135.0335480408015,1540
120,136.1728395061799,1618
121,137.31228433403055,1570
122,138.45188252435338,1570
123,139.5916340771484,1477
124,140.73153899241564,1434
125,141.87159727015506,1438
126,143.0118089103667,1439
127,144.15217391305055,1434
128,145.2926922782066,1394
129,146.43336400583487,1438
