angle,rangle(radians),1-cos(theta),E'(keV),1/E',FW/HM
10.00,0.17,0.01519224699,648.511,0.001541993891,20.768
20.00,0.35,0.06030737921,612.633,0.001632298619,48.599
30.00,0.52,0.1339745962,558.209,0.001791443707,41.935
40.00,0.70,0.2339555569,503.723,0.001985218066,45.222
50.00,0.87,0.3572123903,450.566,0.002219430672,49.6
60.00,1.05,0.5,398.045,0.002512278762,45.343
70.00,1.22,0.6579798567,353.663,0.002827550521,42.617
80.00,1.40,0.8263518223,278,0.003597122302,30
90.00,1.57,1,282.027,0.003545759803,32.359
100.00,1.75,1.173648178,255.655,0.003911521386,32.169
110.00,1.92,1.342020143,241.464,0.004141404102,28.835
