t,x,y
0,0.121,0.08906
20,0.118,0.08923
40,0.115,0.08922
60,0.112,0.08928
80,0.109,0.08921
100,0.106,0.08902
120,0.103,0.08898
140,0.101,0.08929
160,0.09918,0.08924
180,0.09799,0.08923
200,0.09654,0.08922
220,0.09572,0.08913
240,0.09552,0.08929
260,0.0957,0.089
280,0.09584,0.08923
300,0.09637,0.08882
320,0.098,0.08921
340,0.09949,0.08911
360,0.101,0.08909
380,0.103,0.0891
400,0.105,0.0891
420,0.108,0.08901
440,0.11,0.08919
460,0.114,0.08899
480,0.117,0.0891
500,0.12,0.08907
520,0.123,0.08913
540,0.126,0.08901
560,0.129,0.08909
580,0.132,0.08912
600,0.135,0.08913
620,0.137,0.0888
640,0.139,0.08876
660,0.142,0.08909
680,0.144,0.08899
700,0.145,0.08901
720,0.146,0.08899
740,0.147,0.08903
760,0.148,0.08905
780,0.147,0.08911
800,0.147,0.08891
820,0.147,0.08922
840,0.145,0.08908
860,0.144,0.0889
880,0.142,0.0891
900,0.14,0.0891
920,0.138,0.08916
940,0.136,0.08913
960,0.133,0.08909
980,0.13,0.08923
1000,0.127,0.08902
1020,0.124,0.0892
1040,0.122,0.08926
1060,0.119,0.08886
1080,0.116,0.08919
1100,0.113,0.08888
1120,0.111,0.08927
1140,0.108,0.08918
1160,0.106,0.08917
1180,0.104,0.0893
1200,0.103,0.0893
1220,0.101,0.08933
1240,0.09983,0.08921
1260,0.09938,0.08908
1280,0.09917,0.08914
1300,0.09897,0.08908
1320,0.09941,0.08912
1340,0.0997,0.08916
1360,0.101,0.08914
1380,0.102,0.08913
1400,0.104,0.08918
1420,0.105,0.08908
1440,0.107,0.08907
1460,0.109,0.08906
1480,0.112,0.08911
1500,0.114,0.08889
1520,0.117,0.08921
1540,0.119,0.08913
1560,0.122,0.08897
1580,0.125,0.0889
1600,0.128,0.0892
1620,0.131,0.08903
1640,0.132,0.08904
1660,0.135,0.08905
1680,0.137,0.08905
1700,0.139,0.08891
1720,0.141,0.08903
1740,0.142,0.08909
1760,0.142,0.08906
1780,0.143,0.08902
1800,0.144,0.08899
1820,0.144,0.08893
1840,0.143,0.08902
1860,0.143,0.0891
1880,0.142,0.08908
1900,0.141,0.08908
1920,0.139,0.08922
1940,0.137,0.08902
1960,0.135,0.08913
1980,0.134,0.08916
2000,0.131,0.08916
2020,0.129,0.08916
2040,0.126,0.08914
2060,0.124,0.08913
2080,0.121,0.0892
2100,0.119,0.08917
2120,0.117,0.08899
2140,0.114,0.0891
2160,0.112,0.08919
2180,0.11,0.08907
2200,0.108,0.0892
2220,0.106,0.08911
2240,0.105,0.0891
2260,0.103,0.08911
2280,0.102,0.08921
2300,0.101,0.08895
2320,0.101,0.08929
2340,0.101,0.08908
2360,0.101,0.08918
2380,0.101,0.089
2400,0.103,0.08915
2420,0.103,0.08928
2440,0.105,0.08893
2460,0.106,0.08914
2480,0.108,0.08908
2500,0.11,0.08901
2520,0.112,0.08925
2540,0.114,0.08893
2560,0.117,0.08914
2580,0.119,0.08896
2600,0.121,0.0891
2620,0.124,0.0891
2640,0.128,0.08915
2660,0.131,0.08908
2680,0.133,0.08901
2700,0.135,0.08899
2720,0.137,0.08904
2740,0.138,0.08904
2760,0.139,0.08907
2780,0.14,0.08906
2800,0.14,0.08884
2820,0.141,0.08911
2840,0.141,0.08905
2860,0.141,0.08899
2880,0.14,0.08897
2900,0.14,0.08897
2920,0.139,0.08905
2940,0.138,0.0891
2960,0.136,0.08894
2980,0.135,0.08942
3000,0.133,0.08914
3020,0.131,0.0892
3040,0.128,0.08907
3060,0.127,0.08912
3080,0.124,0.08901
3100,0.122,0.0892
3120,0.12,0.08884
3140,0.118,0.08922
3160,0.115,0.08889
3180,0.113,0.08937
3200,0.111,0.08929
3220,0.11,0.089
3240,0.108,0.08915
3260,0.107,0.08924
3280,0.106,0.08917
3300,0.105,0.08915
3320,0.104,0.08912
3340,0.104,0.08913
3360,0.104,0.08912
3380,0.104,0.08912
3400,0.104,0.08908
3420,0.105,0.08908
3440,0.106,0.08902
3460,0.107,0.08898
3480,0.108,0.08898
3500,0.11,0.08892
3520,0.112,0.08919
3540,0.114,0.08907
3560,0.116,0.0891
3580,0.118,0.08909
3600,0.12,0.08918
3620,0.122,0.08906
3640,0.124,0.08895
3660,0.126,0.08897
3680,0.128,0.08894
3700,0.13,0.0891
3720,0.132,0.08918
3740,0.134,0.08916
3760,0.135,0.08889
3780,0.136,0.08906
3800,0.137,0.08893
3820,0.138,0.089
3840,0.139,0.08905
3860,0.139,0.08908
3880,0.139,0.08905
3900,0.14,0.08912
3920,0.139,0.08916
3940,0.139,0.08896
3960,0.138,0.089
3980,0.137,0.08902
4000,0.135,0.08905
4020,0.134,0.08905
4040,0.132,0.08911
4060,0.13,0.08901
4080,0.129,0.08907
4100,0.127,0.08903
4120,0.125,0.08905
4140,0.123,0.08898
4160,0.121,0.08908
4180,0.119,0.08912
4200,0.117,0.08924
4220,0.115,0.08907
4240,0.113,0.08925
4260,0.112,0.089
4280,0.11,0.08905
4300,0.109,0.08902
4320,0.108,0.08913
4340,0.107,0.08893
4360,0.107,0.08925
4380,0.107,0.08906
4400,0.107,0.08908
4420,0.107,0.08909
4440,0.108,0.08915
4460,0.108,0.08919
4480,0.108,0.08908
4500,0.11,0.08913
4520,0.11,0.08911
4540,0.112,0.08911
4560,0.113,0.08909
4580,0.115,0.0891
4600,0.117,0.08901
4620,0.118,0.08895
4640,0.121,0.089
4660,0.122,0.08905
4680,0.124,0.08909
4700,0.126,0.08913
4720,0.128,0.08914
4740,0.129,0.08895
4760,0.131,0.08903
4780,0.132,0.08901
4800,0.133,0.08902
4820,0.135,0.08903
4840,0.135,0.08902
4860,0.137,0.08902
4880,0.137,0.08902
4900,0.137,0.08902
4920,0.137,0.08914
4940,0.137,0.08912
4960,0.137,0.08905
4980,0.137,0.08897
5000,0.136,0.08898
5020,0.135,0.08906
5040,0.135,0.0891
5060,0.133,0.089
5080,0.132,0.08912
5100,0.13,0.08908
5120,0.129,0.08908
5140,0.127,0.08912
5160,0.125,0.0892
5180,0.123,0.08906
5200,0.121,0.08893
5220,0.12,0.08905
5240,0.119,0.08916
5260,0.117,0.08916
5280,0.115,0.08909
5300,0.114,0.08905
5320,0.113,0.08886
5340,0.112,0.0891
5360,0.111,0.0893
5380,0.11,0.08916
5400,0.11,0.08913
5420,0.11,0.08906
5440,0.11,0.08911
5460,0.11,0.08902
5480,0.11,0.089
5500,0.11,0.08902
5520,0.11,0.08895
5540,0.112,0.08905
5560,0.112,0.08906
5580,0.114,0.08907
5600,0.115,0.08907
5620,0.117,0.08926
5640,0.118,0.08886
5660,0.119,0.08894
5680,0.121,0.08891
5700,0.123,0.08906
5720,0.124,0.08917
5740,0.126,0.08907
5760,0.128,0.08898
5780,0.13,0.08902
5800,0.131,0.08897
5820,0.132,0.08904
5840,0.133,0.08901
5860,0.135,0.08902
5880,0.135,0.08905
5900,0.136,0.08901
5920,0.137,0.0889
5940,0.137,0.089
5960,0.137,0.08877
5980,0.137,0.0891
6000,0.137,0.08895
6020,0.137,0.08895
6040,0.137,0.08911
6060,0.136,0.08914
6080,0.135,0.08915
6100,0.134,0.08909
6120,0.133,0.08911
6140,0.132,0.08892
6160,0.131,0.0892
6180,0.129,0.08901
6200,0.128,0.08917
6220,0.126,0.08914
6240,0.124,0.08914
6260,0.123,0.08909
6280,0.121,0.08911
6300,0.119,0.08911
6320,0.119,0.08907
6340,0.117,0.08909
6360,0.116,0.08906
6380,0.115,0.0891
6400,0.114,0.08909
6420,0.114,0.08904
6440,0.112,0.08896
6460,0.112,0.08908
6480,0.112,0.08909
6500,0.112,0.08898
6520,0.112,0.08902
6540,0.112,0.08918
6560,0.112,0.08901
6580,0.113,0.08903
6600,0.115,0.08916
6620,0.117,0.08918
6640,0.121,0.0893
6660,0.126,0.08899
6680,0.13,0.08899
6700,0.136,0.08864
6720,0.143,0.08891
6740,0.15,0.08892
6760,0.158,0.08902
6780,0.166,0.08886
6800,0.174,0.08861
6820,0.183,0.08831
6840,0.193,0.08859
6860,0.201,0.08853
6880,0.209,0.0884
6900,0.217,0.08857
6920,0.225,0.08846
6940,0.232,0.08848
6960,0.238,0.08802
6980,0.244,0.08797
7000,0.248,0.08777
7020,0.252,0.08832
7040,0.255,0.08789
7060,0.257,0.08791
7080,0.257,0.08776
7100,0.257,0.08784
7120,0.257,0.08777
7140,0.255,0.08797
7160,0.252,0.08785
7180,0.248,0.08797
7200,0.244,0.08776
7220,0.239,0.08776
7240,0.233,0.08831
7260,0.227,0.08854
7280,0.22,0.08844
7300,0.213,0.08872
7320,0.205,0.08853
7340,0.197,0.08865
7360,0.189,0.08859
7380,0.181,0.08813
7400,0.173,0.08827
7420,0.167,0.08852
7440,0.159,0.08833
7460,0.153,0.08869
7480,0.148,0.08856
7500,0.142,0.08854
7520,0.138,0.08859
7540,0.133,0.08867
7560,0.131,0.08846
7580,0.129,0.08846
7600,0.128,0.08852
7620,0.128,0.08856
7640,0.128,0.08846
7660,0.131,0.08853
7680,0.133,0.08867
7700,0.136,0.0885
7720,0.14,0.08856
7740,0.144,0.08827
7760,0.15,0.08829
7780,0.156,0.08846
7800,0.162,0.08829
7820,0.169,0.08806
7840,0.176,0.08812
7860,0.183,0.08762
7880,0.19,0.08819
7900,0.198,0.08814
7920,0.206,0.08837
7940,0.213,0.08826
7960,0.22,0.08827
7980,0.226,0.08823
8000,0.231,0.08791
8020,0.236,0.08762
8040,0.241,0.08648
8060,0.245,0.08681
8080,0.248,0.08694
8100,0.25,0.08677
8120,0.25,0.08678
8140,0.252,0.08734
8160,0.252,0.08726
8180,0.25,0.08691
8200,0.247,0.08791
8220,0.245,0.08759
8240,0.241,0.08757
8260,0.236,0.08791
8280,0.231,0.08734
8300,0.227,0.08677
8320,0.221,0.08679
8340,0.214,0.08671
8360,0.207,0.08681
8380,0.2,0.08687
8400,0.193,0.08706
8420,0.186,0.08848
8440,0.18,0.08819
8460,0.175,0.0885
8480,0.168,0.08791
8500,0.162,0.08808
8520,0.157,0.08797
8540,0.152,0.08793
8560,0.147,0.08793
8580,0.143,0.08797
8600,0.141,0.08812
8620,0.138,0.08792
8640,0.138,0.08786
8660,0.136,0.08791
8680,0.136,0.08784
8700,0.137,0.08777
8720,0.139,0.08778
8740,0.142,0.08814
8760,0.145,0.08786
8780,0.149,0.0878
8800,0.153,0.08768
8820,0.158,0.08786
8840,0.163,0.08791
8860,0.169,0.08777
8880,0.175,0.08781
8900,0.18,0.08762
8920,0.186,0.08677
8940,0.193,0.08819
8960,0.2,0.08806
8980,0.205,0.08802
9000,0.211,0.088
9020,0.216,0.0882
9040,0.221,0.08807
9060,0.225,0.08803
9080,0.229,0.08762
9100,0.232,0.08734
9120,0.234,0.08762
9140,0.236,0.08784
9160,0.239,0.08648
9180,0.24,0.08662
9200,0.239,0.0866
9220,0.239,0.08662
9240,0.237,0.08654
9260,0.233,0.08734
9280,0.23,0.08701
9300,0.227,0.08705
9320,0.223,0.08694
9340,0.218,0.08691
9360,0.213,0.087
9380,0.209,0.08714
9400,0.203,0.087
9420,0.197,0.08709
9440,0.191,0.08735
9460,0.185,0.08677
9480,0.178,0.08734
9500,0.174,0.08877
9520,0.169,0.08877
9540,0.164,0.0889
9560,0.159,0.08893
9580,0.156,0.08887
9600,0.151,0.08856
9620,0.148,0.0886
9640,0.146,0.08877
9660,0.144,0.08864
9680,0.143,0.08876
9700,0.142,0.08867
9720,0.142,0.08886
9740,0.143,0.08903
9760,0.145,0.089
9780,0.146,0.08887
9800,0.149,0.08883
9820,0.152,0.08862
9840,0.156,0.08892
9860,0.159,0.08854
9880,0.165,0.08886
9900,0.169,0.0886
9920,0.174,0.0885
9940,0.18,0.0862
9960,0.184,0.08648
9980,0.191,0.08791
10000,0.197,0.08801
10020,0.202,0.08803
10040,0.207,0.08788
10060,0.211,0.08801
10080,0.216,0.08804
10100,0.219,0.08766
10120,0.224,0.08799
10140,0.226,0.08762
10160,0.228,0.08705
10180,0.229,0.087
10200,0.23,0.08682
10220,0.231,0.08704
10240,0.231,0.08704
10260,0.23,0.08703
10280,0.229,0.08693
10300,0.228,0.08684
10320,0.226,0.08734
10340,0.224,0.0874
10360,0.22,0.08734
10380,0.216,0.08747
10400,0.212,0.08746
10420,0.208,0.08758
10440,0.203,0.08746
10460,0.198,0.08765
10480,0.193,0.08819
10500,0.186,0.08705
10520,0.181,0.08791
10540,0.178,0.08791
10560,0.173,0.08787
10580,0.169,0.08801
10600,0.164,0.08801
10620,0.159,0.08791
10640,0.156,0.0881
10660,0.154,0.08809
10680,0.151,0.088
10700,0.149,0.08795
10720,0.148,0.08798
10740,0.147,0.08798
10760,0.147,0.08792
10780,0.148,0.088
10800,0.149,0.08805
10820,0.15,0.0879
10840,0.152,0.08789
10860,0.155,0.08799
10880,0.157,0.08788
10900,0.161,0.0878
10920,0.165,0.088
10940,0.169,0.08763
10960,0.173,0.08785
10980,0.178,0.08743
11000,0.183,0.08734
11020,0.189,0.08705
11040,0.194,0.08762
11060,0.198,0.08774
11080,0.203,0.08753
11100,0.207,0.08774
11120,0.21,0.08734
11140,0.215,0.08747
11160,0.22,0.08748
11180,0.222,0.08723
11200,0.224,0.08753
11220,0.224,0.08731
11240,0.225,0.08714
11260,0.226,0.08733
11280,0.226,0.0873
11300,0.225,0.08721
11320,0.223,0.08718
11340,0.222,0.08748
11360,0.218,0.08719
11380,0.216,0.08747
11400,0.212,0.08738
11420,0.209,0.08741
11440,0.205,0.08747
11460,0.201,0.08727
11480,0.197,0.08748
11500,0.193,0.08722
11520,0.187,0.08762
11540,0.182,0.08791
11560,0.178,0.08705
11580,0.175,0.08762
11600,0.171,0.08762
11620,0.166,0.08768
11640,0.164,0.08764
11660,0.161,0.08768
11680,0.159,0.0876
11700,0.157,0.08769
11720,0.154,0.08744
11740,0.154,0.08752
11760,0.153,0.08761
11780,0.153,0.0876
11800,0.153,0.08759
11820,0.154,0.08743
11840,0.155,0.08763
11860,0.157,0.08762
11880,0.16,0.08765
11900,0.162,0.08763
11920,0.165,0.08762
11940,0.169,0.08763
11960,0.172,0.08738
11980,0.176,0.08746
12000,0.18,0.08762
12020,0.183,0.08762
12040,0.187,0.08705
12060,0.195,0.08705
12080,0.198,0.08667
12100,0.202,0.0871
12120,0.206,0.08714
12140,0.21,0.08712
12160,0.213,0.08681
12180,0.216,0.08699
12200,0.218,0.08699
12220,0.22,0.08707
12240,0.222,0.08697
12260,0.223,0.08708
12280,0.223,0.08678
12300,0.224,0.08705
12320,0.224,0.08701
12340,0.223,0.08705
12360,0.222,0.08711
12380,0.22,0.08697
12400,0.218,0.08696
12420,0.215,0.08707
12440,0.212,0.08684
12460,0.209,0.08717
12480,0.206,0.08704
12500,0.202,0.08711
12520,0.198,0.08683
12540,0.195,0.08722
12560,0.188,0.08677
12580,0.184,0.08734
12600,0.181,0.08819
12620,0.179,0.08846
12640,0.174,0.08791
12660,0.171,0.08793
12680,0.168,0.08807
12700,0.165,0.08794
12720,0.163,0.08804
12740,0.16,0.08787
12760,0.16,0.08786
12780,0.158,0.0878
12800,0.158,0.08782
12820,0.158,0.08784
12840,0.158,0.08782
12860,0.158,0.08779
12880,0.16,0.08795
12900,0.161,0.08802
12920,0.163,0.08794
12940,0.165,0.08793
12960,0.168,0.08781
12980,0.171,0.08774
13000,0.174,0.08783
13020,0.177,0.08762
13040,0.181,0.08734
13060,0.184,0.08648
13080,0.189,0.08705
13100,0.193,0.08734
13120,0.197,0.08744
13140,0.2,0.08763
13160,0.202,0.0872
13180,0.206,0.08734
13200,0.209,0.08765
13220,0.211,0.08751
13240,0.213,0.08733
13260,0.215,0.0873
13280,0.216,0.08726
13300,0.218,0.08724
13320,0.218,0.08736
13340,0.218,0.08738
13360,0.218,0.08726
13380,0.218,0.08729
13400,0.216,0.08736
13420,0.215,0.08737
13440,0.213,0.08743
13460,0.211,0.0873
13480,0.208,0.08723
13500,0.206,0.08752
13520,0.203,0.08751
13540,0.2,0.08742
13560,0.197,0.08734
13580,0.194,0.0873
13600,0.19,0.08739
13620,0.186,0.08734
13640,0.182,0.08734
13660,0.179,0.08734
13680,0.176,0.08729
13700,0.174,0.08771
13720,0.17,0.08721
13740,0.169,0.08748
13760,0.166,0.08756
13780,0.164,0.08729
13800,0.163,0.0873
13820,0.162,0.08723
13840,0.162,0.0874
13860,0.162,0.08741
13880,0.162,0.08739
13900,0.162,0.08743
13920,0.162,0.08735
13940,0.164,0.08746
13960,0.166,0.08722
13980,0.168,0.08755
14000,0.17,0.08737
14020,0.172,0.0873
14040,0.175,0.08732
14060,0.177,0.08705
14080,0.182,0.08705
14100,0.185,0.08648
14120,0.19,0.08705
14140,0.192,0.08735
14160,0.195,0.08756
14180,0.199,0.08743
14200,0.202,0.08744
14220,0.205,0.08737
14240,0.206,0.08735
14260,0.209,0.0873
14280,0.21,0.0872
14300,0.212,0.08728
14320,0.213,0.08741
14340,0.214,0.08724
14360,0.215,0.08752
14380,0.215,0.08752
14400,0.215,0.08748
14420,0.214,0.08716
14440,0.214,0.08751
14460,0.212,0.08722
14480,0.211,0.08736
14500,0.209,0.08727
14520,0.207,0.08721
14540,0.205,0.08748
14560,0.202,0.08732
14580,0.2,0.08752
14600,0.197,0.08738
14620,0.194,0.08735
14640,0.192,0.08747
14660,0.184,0.0871
14680,0.182,0.08744
14700,0.18,0.08862
14720,0.177,0.089
14740,0.175,0.08896
14760,0.172,0.08862
14780,0.17,0.08858
14800,0.168,0.08853
14820,0.168,0.08878
14840,0.167,0.08874
14860,0.166,0.0887
14880,0.166,0.08861
14900,0.166,0.08868
14920,0.166,0.08873
14940,0.166,0.08878
14960,0.168,0.08877
14980,0.169,0.08864
15000,0.17,0.08863
15020,0.171,0.0884
15040,0.175,0.08853
15060,0.176,0.0886
15080,0.179,0.08832
15100,0.182,0.08735
