delta_t,V_echo_low,V_echo_high,V_echo_avg
1E-03,18.80,19.00,18.90
2E-03,17.60,18.20,17.90
3E-03,16.80,17.60,17.20
4E-03,16.20,16.60,16.40
5E-03,15.40,15.80,15.60
6E-03,14.80,15.20,15.00
7E-03,13.80,14.40,14.10
8E-03,13.20,13.70,13.45
9E-03,12.80,13.20,13.00
1E-02,12.10,12.60,12.35
1.1E-02,11.60,12.00,11.80
1.2E-02,11.10,11.60,11.35
1.3E-02,10.80,11.20,11.00
1.4E-02,10.30,10.80,10.55
1.5E-02,9.84,10.40,10.12
1.6E-02,9.36,9.92,9.64
1.7E-02,9.12,9.60,9.36
1.8E-02,8.80,9.12,8.96
1.9E-02,8.40,8.80,8.60
2E-02,8.00,8.56,8.28
2.1E-02,7.76,8.16,7.96
2.2E-02,7.20,7.68,7.44
2.3E-02,6.88,7.32,7.10
2.4E-02,6.60,7.00,6.80
2.5E-02,6.24,6.60,6.42
2.6E-02,6.04,6.24,6.14
2.7E-02,5.64,5.96,5.80
2.8E-02,5.28,5.64,5.46
2.9E-02,4.96,5.24,5.10
3E-02,4.60,4.92,4.76
3.1E-02,4.32,4.64,4.48
3.2E-02,4.04,4.36,4.20
3.3E-02,3.00,4.04,3.52
3.4E-02,2.84,3.64,3.24
3.5E-02,2.88,3.40,3.14
3.6E-02,2.84,3.08,2.96
